Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Kosovo, Pristina",no service,no service,no service,no service,no service,570,815,402,516,798
"Latvia, Riga",191,188,277,182,154,169,130,63,144,218
"Lithuania, Vilnius",270,220,268,224,185,272,244,106,175,221
"Moldova, Chisinau","1,026","1,370","1,781","1,507","1,566",832,881,386,599,822
"Netherlands, Amsterdam",232,261,373,354,271,350,335,181,272,300
"North Macedonia, Skopje","1,081",942,"1,318","1,354","1,421",884,647,225,469,750
"Poland, Warsaw","3,281","2,599","3,179","2,842","2,770","2,839","2,593","1,055","1,855","5,355"
"Portugal, Lisbon",no service,4,3,5,9,4,20,1,1,no service
"Romania, Bucharest","1,140",982,"1,150","1,023",865,746,795,388,702,816
"Russia, Moscow","3,871","3,566","4,071","3,529","3,681","4,270","4,625","1,837",409,77
"Serbia, Belgrade",638,545,711,777,776,683,709,425,495,626
"Slovakia, Bratislava",74,62,77,81,76,94,58,40,59,85
"Slovenia, Ljubljana",10,10,16,25,18,33,11,18,33,16
"Spain, Madrid",773,808,936,883,801,901,782,536,907,"1,287"
"Sweden, Stockholm",595,450,531,608,575,585,432,346,268,804
"Switzerland, Bern",228,194,272,190,189,229,213,168,267,222
"Turkey, Ankara","4,400","4,020","4,940","4,834","4,966","3,313","3,018","3,538","2,587","5,778"
"Ukraine, Kyiv","4,171","4,122","4,145","5,068","4,751","5,358","4,427","2,611","2,912","2,068"
Europe and Eurasia Total,"42,057","39,624","46,177","45,830","44,716","43,121","40,367","24,326","26,015","48,497"
Near East,,,,,,,,,,
"Algeria, Algiers","1,348","1,319","1,773","4,354","1,670","1,993","2,163","1,020","1,867","2,713"
"Bahrain, Manama",97,80,78,99,135,138,235,112,270,237
"Egypt, Cairo","6,537","7,525","6,991","8,206","6,919","6,670","6,528","3,140","2,019","4,697"
"Iraq, Baghdad","3,675","1,699","1,567","3,000","3,368","1,819","1,443",404,29,264
"Israel, Jerusalem","1,990","2,172","2,015","2,309","1,859","1,968","1,826",978,"1,577","2,225"
"Jordan, Amman","4,390","4,078","3,347","6,083","5,803","3,465","3,402","3,097","2,179","4,436"
"Kuwait, Kuwait",370,350,456,521,504,602,792,449,994,923
"Lebanon, Beirut","2,028","2,414","1,881","2,000","1,970","1,782","1,540","1,289","1,547","2,457"
"Morocco, Casablanca","2,441","2,410","2,756","3,531","2,864","2,536","2,690","1,867","3,511","3,937"
"Oman, Muscat",80,82,134,170,152,197,277,174,515,545
"Qatar, Doha",367,360,386,593,455,526,506,354,"1,170","6,681"
"Saudi Arabia, Riyadh",863,"1,110","1,305","1,979","1,738","1,778","1,836",995,"1,394","3,305"
"Tunisia, Tunis",331,303,407,516,594,324,396,321,460,814
"United Arab Emirates, Abu Dhabi","4,025","4,327","4,416","4,808","4,306","2,827","3,330","3,022","3,195","8,713"
"Yemen, Sanaa","3,072","2,803",372,no service,no service,no service,no service,no service,no service,no service
Near East Total,"31,614","31,032","27,884","38,169","32,337","26,625","26,964","17,222","20,727","41,947"
South and Central Asia,,,,,,,,,,
"Afghanistan, Kabul","2,159","10,205","7,502","13,892","18,453","8,703","10,851","8,579","8,982",no service
"Bangladesh, Dhaka","10,568","11,898","13,878","17,211","12,766","15,179","12,573","6,162","5,311","9,074"
"India, New Delhi","8,817","9,019","10,229","11,661","10,340","8,007","1,449",259,433,826
Mumbai,"15,154","15,138","18,825","18,950","16,112","19,008","21,080","10,559","7,338","23,263"
"Kazakhstan, Almaty",802,911,"1,240",885,"1,074","1,356","1,645",632,991,"1,772"
"Kyrgyzstan, Bishkek",no service,no service,no service,no service,300,528,469,182,585,"1,601"
"Nepal, Kathmandu","4,870","4,996","5,661","6,483","6,446","6,021","5,239","3,521","5,260","7,610"
"Pakistan, Islamabad","8,622","13,898","14,017","15,008","11,975","10,939","8,338","5,098","6,739","8,665"
"Sri Lanka, Colombo",644,685,666,876,683,793,718,483,702,"1,372"
"Turkmenistan, Ashgabat",76,126,104,88,111,167,173,75,250,563
"Uzbekistan, Tashkent","3,727","3,590","3,198","3,274","3,999","2,802","1,494",504,419,"4,798"
South and Central Asia Total,"55,439","70,466","75,320","88,328","82,259","73,503","64,029","36,054","37,010","59,544"
Western Hemisphere,,,,,,,,,,
"Argentina, Buenos Aires",478,496,614,685,497,638,623,308,636,"1,047"
"Bahamas, Nassau",203,206,257,281,348,313,289,145,527,304
"Barbados, Bridgetown","1,899","1,496","1,597","1,722","1,789","1,944","1,614",724,"1,554","1,424"
"Belize, Belmopan",321,242,311,361,276,283,306,163,329,222
