,Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
61,"Bulgaria, Sofia",1.603,1.596,1.492,1.393,1.095,987.0,783.0,433.0,477.0,625.0
62,"Croatia, Zagreb",61.0,65.0,73.0,91.0,73.0,83.0,65.0,55.0,94.0,46.0
63,"Cyprus, Nicosia",50.0,49.0,72.0,70.0,48.0,46.0,55.0,36.0,54.0,85.0
64,"Czech Republic, Prague",149.0,155.0,168.0,166.0,115.0,168.0,153.0,96.0,159.0,255.0
65,"Denmark, Copenhagen",,,,,1.0,2.0,,1.0,,
66,"Estonia, Tallinn",49.0,42.0,55.0,45.0,41.0,50.0,39.0,21.0,59.0,62.0
67,"Finland, Helsinki",124.0,102.0,111.0,132.0,102.0,107.0,107.0,36.0,130.0,112.0
68,"France, Paris",1.099,1.053,1.367,1.328,1.237,1.295,1.136,784.0,977.0,1.47
69,"Georgia, Tbilisi",928.0,805.0,1.249,1.126,1.621,1.776,1.965,892.0,816.0,2.738
70,"Germany, Frankfurt",2.808,2.314,2.285,2.106,1.899,1.851,1.59,1.313,1.584,4.469
71,"Great Britain and Northern Ireland,",4.172,3.858,4.099,4.231,3.816,3.87,3.898,2.299,2.956,4.755
73,"Greece, Athens",765.0,507.0,542.0,668.0,595.0,560.0,484.0,225.0,242.0,369.0
74,"Hungary, Budapest",260.0,225.0,268.0,231.0,220.0,282.0,225.0,121.0,217.0,267.0
75,"Iceland, Reykjavik",38.0,27.0,29.0,40.0,19.0,23.0,15.0,18.0,39.0,31.0
76,"Ireland, Dublin",299.0,258.0,335.0,289.0,219.0,346.0,298.0,167.0,305.0,435.0
77,"Italy, Naples",1.032,1.215,1.299,1.286,1.218,1.155,1.16,756.0,1.036,1.676
78,"Kosovo, Pristina",,,,,,570.0,815.0,402.0,516.0,798.0
79,"Latvia, Riga",191.0,188.0,277.0,182.0,154.0,169.0,130.0,63.0,144.0,218.0
80,"Lithuania, Vilnius",270.0,220.0,268.0,224.0,185.0,272.0,244.0,106.0,175.0,221.0
81,"Moldova, Chisinau",1.026,1.37,1.781,1.507,1.566,832.0,881.0,386.0,599.0,822.0
82,"Netherlands, Amsterdam",232.0,261.0,373.0,354.0,271.0,350.0,335.0,181.0,272.0,300.0
83,"North Macedonia, Skopje",1.081,942.0,1.318,1.354,1.421,884.0,647.0,225.0,469.0,750.0
84,"Poland, Warsaw",3.281,2.599,3.179,2.842,2.77,2.839,2.593,1.055,1.855,5.355
85,"Portugal, Lisbon",,4.0,3.0,5.0,9.0,4.0,20.0,1.0,1.0,
86,"Romania, Bucharest",1.14,982.0,1.15,1.023,865.0,746.0,795.0,388.0,702.0,816.0
87,"Russia, Moscow",3.871,3.566,4.071,3.529,3.681,4.27,4.625,1.837,409.0,77.0
88,"Serbia, Belgrade",638.0,545.0,711.0,777.0,776.0,683.0,709.0,425.0,495.0,626.0
89,"Slovakia, Bratislava",74.0,62.0,77.0,81.0,76.0,94.0,58.0,40.0,59.0,85.0
90,"Slovenia, Ljubljana",10.0,10.0,16.0,25.0,18.0,33.0,11.0,18.0,33.0,16.0
91,"Spain, Madrid",773.0,808.0,936.0,883.0,801.0,901.0,782.0,536.0,907.0,1.287
92,"Sweden, Stockholm",595.0,450.0,531.0,608.0,575.0,585.0,432.0,346.0,268.0,804.0
93,"Switzerland, Bern",228.0,194.0,272.0,190.0,189.0,229.0,213.0,168.0,267.0,222.0
94,"Turkey, Ankara",4.4,4.02,4.94,4.834,4.966,3.313,3.018,3.538,2.587,5.778
95,"Ukraine, Kyiv",4.171,4.122,4.145,5.068,4.751,5.358,4.427,2.611,2.912,2.068
96,Europe and Eurasia Total,42.057,39.624,46.177,45.83,44.716,43.121,40.367,24.326,26.015,48.497
98,"Algeria, Algiers",1.348,1.319,1.773,4.354,1.67,1.993,2.163,1.02,1.867,2.713
99,"Bahrain, Manama",97.0,80.0,78.0,99.0,135.0,138.0,235.0,112.0,270.0,237.0
100,"Egypt, Cairo",6.537,7.525,6.991,8.206,6.919,6.67,6.528,3.14,2.019,4.697
101,"Iraq, Baghdad",3.675,1.699,1.567,3.0,3.368,1.819,1.443,404.0,29.0,264.0
102,"Israel, Jerusalem",1.99,2.172,2.015,2.309,1.859,1.968,1.826,978.0,1.577,2.225
103,"Jordan, Amman",4.39,4.078,3.347,6.083,5.803,3.465,3.402,3.097,2.179,4.436
104,"Kuwait, Kuwait",370.0,350.0,456.0,521.0,504.0,602.0,792.0,449.0,994.0,923.0
105,"Lebanon, Beirut",2.028,2.414,1.881,2.0,1.97,1.782,1.54,1.289,1.547,2.457
106,"Morocco, Casablanca",2.441,2.41,2.756,3.531,2.864,2.536,2.69,1.867,3.511,3.937
107,"Oman, Muscat",80.0,82.0,134.0,170.0,152.0,197.0,277.0,174.0,515.0,545.0
108,"Qatar, Doha",367.0,360.0,386.0,593.0,455.0,526.0,506.0,354.0,1.17,6.681
109,"Saudi Arabia, Riyadh",863.0,1.11,1.305,1.979,1.738,1.778,1.836,995.0,1.394,3.305
110,"Tunisia, Tunis",331.0,303.0,407.0,516.0,594.0,324.0,396.0,321.0,460.0,814.0
111,"United Arab Emirates, Abu Dhabi",4.025,4.327,4.416,4.808,4.306,2.827,3.33,3.022,3.195,8.713
