Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Equatorial Guinea,"1,197","2,057","1,687","1,620","1,617","1,817","1,854",740,509,"1,116"
Eritrea,"1,528","2,583","3,094","3,681","3,755","1,634","1,193",571,283,724
Estonia,"20,942","24,733","24,103","27,323","28,544","28,019","29,673","14,641","2,306","16,891"
Eswatini,863,"1,129","1,145","1,080",562,"1,329","1,483",508,286,969
Ethiopia,"16,884","18,276","18,967","23,881","25,110","25,986","25,594","10,879","14,668","17,803"
Fiji,"13,996","14,977","13,442","13,043","12,343","12,345","11,943","4,929",595,"7,555"
Finland,"161,020","173,365","171,655","178,710","175,076","168,023","167,146","79,197","5,675","73,184"
France,"1,959,424","2,115,351","2,075,668","2,068,940","2,099,450","2,236,217","2,336,381","966,849","127,069","1,469,979"
Gabon,"2,792","2,971","3,079","3,111","2,862","2,548","2,476","1,050",723,"1,424"
Gambia,"2,551","2,695","2,310","2,230","2,108","2,311","2,384","1,040",874,"1,758"
Georgia,"6,628","9,102","11,110","9,617","5,617","12,191","13,272","5,972","5,033","9,309"
Germany,"2,359,681","2,448,591","2,381,765","2,367,813","2,409,465","2,381,702","2,328,365","941,831","144,766","1,404,348"
Ghana,"27,822","29,460","27,965","28,995","28,824","34,295","38,328","14,225","12,531","28,855"
Greece,"81,400","89,425","88,012","96,967","101,625","108,897","111,782","53,121","11,921","72,690"
Grenada,"10,674","10,872","12,484","12,824","13,012","13,253","14,451","5,690","3,913","9,458"
Guatemala,"224,006","252,586","256,875","290,019","302,128","307,313","321,061","162,755","231,488","288,179"
Guinea,"2,777","3,250","3,223","3,791","3,939","3,522","3,578","1,389",884,"1,825"
Guinea-Bissau,126,285,295,252,328,273,273,104,102,202
Guyana,"39,412","43,549","56,719","71,203","73,818","65,299","62,224","22,735","34,731","53,730"
Haiti,"108,382","124,841","136,804","161,877","154,981","146,325","140,909","68,221","76,040","66,563"
Holy See,130,136,144,128,162,150,129,67,62,112
Honduras,"157,751","176,636","183,851","220,021","231,029","236,927","242,057","119,460","212,104","257,902"
Hungary,"81,213","91,102","92,587","99,880","108,588","113,979","127,016","54,851","6,880","65,106"
Iceland,"55,202","56,250","56,149","60,879","70,124","76,784","71,403","29,004","2,129","38,445"
India,"1,491,712","1,720,729","1,898,327","1,988,420","2,055,480","2,223,163","2,316,025","1,059,774","540,303","1,793,061"
Indonesia,"123,583","133,013","137,940","134,536","144,790","153,099","154,598","69,960","32,203","103,600"
Iran,"26,144","33,303","35,266","31,805","21,892","9,582","5,843","2,671","3,412","9,888"
Iraq,"17,077","23,858","21,381","21,116","19,123","16,991","17,668","8,201","1,587","5,212"
Ireland,"487,428","518,282","524,500","543,054","575,551","630,939","644,352","270,763","17,770","399,988"
Israel,"381,206","400,169","458,225","465,738","481,255","503,918","466,595","210,114","165,454","354,478"
Italy,"1,205,816","1,366,572","1,319,429","1,357,516","1,384,255","1,456,866","1,479,146","563,266","145,088","865,392"
Jamaica,"233,430","265,740","304,611","351,792","352,461","370,408","376,270","165,277","164,754","249,908"
Japan,"4,298,081","4,199,152","4,021,857","3,987,687","3,975,012","3,809,830","3,916,108","1,731,801","130,528","487,626"
Jordan,"38,867","44,886","53,559","54,551","52,240","53,203","52,060","20,864","19,180","31,113"
Kazakhstan,"22,422","26,066","29,519","27,057","31,769","32,853","33,346","14,553","12,290","24,255"
Kenya,"22,105","27,425","29,008","31,400","35,876","39,708","43,509","18,136","13,170","24,474"
Kiribati,654,762,953,944,"1,007",886,768,250,34,167
"Korea, North",59,84,99,120,69,77,87,31,14,52
"Korea, South","1,656,795","1,780,662","1,946,887","2,197,905","2,510,988","2,541,826","2,352,342","1,120,013","168,257","795,357"
Kosovo,NA,"5,204","5,663","5,595","5,403","5,085","5,253","2,602","2,089","4,811"
Kuwait,"48,784","64,754","73,943","77,167","61,578","60,044","56,461","21,513","16,642","33,045"
Kyrgyzstan,"4,584","4,128","3,609","3,482","1,943","4,955","5,016","2,579","2,177","5,135"
Laos,"2,556","2,578","2,294","2,138","2,760","2,463","2,532",951,68,"1,290"
Latvia,"22,330","23,871","23,963","24,768","27,205","27,227","28,278","13,637","3,299","18,032"
Lebanon,"42,775","50,632","51,894","51,830","48,860","48,455","48,458","20,367","15,239","27,575"
Lesotho,524,639,593,716,680,723,718,227,122,350
Liberia,"4,152","5,152","5,360","4,559","4,580","4,368","4,341","1,403",739,"1,283"
Libya,"4,016","4,120","2,879","2,138","1,481",915,842,400,416,"1,154"
Liechtenstein,"2,234","2,330","2,350","2,254","2,183","2,108","2,035",785,136,"1,163"
Lithuania,"27,854","31,612","32,932","33,528","28,461","45,709","48,848","21,326","4,124","32,818"
Luxembourg,"15,785","16,260","15,748","15,519","14,395","15,694","16,351","5,852",861,"10,440"
Madagascar,"1,265","1,699","1,750","1,993","1,975","2,131","2,387",952,292,"1,543"
Malawi,"2,359","2,547","3,219","3,198","3,356","3,377","3,262","1,218",614,"2,299"
Malaysia,"102,605","108,926","105,570","102,778","101,047","108,370","108,764","43,914","8,096","38,796"
Maldives,420,559,564,453,659,490,521,282,179,538
Mali,"3,806","4,331","4,219","4,664","4,653","4,787","4,665","1,986","1,587","2,737"
Malta,"6,379","6,751","6,434","6,936","7,319","8,136","9,339","3,694",817,"5,818"
Marshall Islands,176,261,200,180,201,194,261,90,23,42
Mauritania,"1,303","1,953","2,083","1,922","1,403","1,120","1,725",657,343,725
Mauritius,"5,892","7,095","6,825","6,967","7,026","7,637","8,484","3,614","1,111","4,543"
Mexico,"17,980,784","20,002,936","20,378,001","19,767,022","19,326,562","21,182,686","21,412,174","11,004,919","4,551,988","13,644,287"
"Micronesia, Federated States",209,130,159,175,181,370,398,139,24,48
Moldova,"12,604","12,939","12,600","12,954","11,561","10,340","10,088","5,330","4,626","7,239"
Monaco,"1,194","1,210","1,311","1,373","1,249","1,157","1,234",537,147,769
Mongolia,"11,819","14,013","14,808","15,447","15,380","16,202","18,769","8,316","3,278","11,662"
Morocco,"30,618","34,910","37,058","38,333","36,968","35,248","39,723","17,261","10,827","29,328"
Mozambique,"2,278","2,729","2,807","2,728","2,546","2,803","2,676","1,164",444,"1,525"
Namibia,"2,165","2,447","2,565","2,524","2,739","2,749","2,690","1,196",680,"1,617"
Nauru,85,110,115,187,128,153,162,54,0,53
Nepal,"19,419","23,387","30,019","36,526","39,062","36,733","39,690","17,455","16,141","34,741"
Netherlands,"781,198","814,560","801,610","820,312","853,332","890,570","893,210","355,983","71,434","528,432"
New Zealand,"295,210","318,692","336,645","353,615","371,173","376,671","371,055","137,102","12,987","117,790"
Nicaragua,"59,296","65,866","69,935","79,704","77,049","80,186","78,385","37,769","34,943","60,223"
