Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Croatia,"22,225","25,523","27,792","29,783","26,403","26,524","33,964","16,658","8,040","26,479"
Cuba,"41,406","54,286","60,117","63,908","89,794","101,502","110,998","44,330","19,628","26,775"
Curacao,NA,"6,784","6,367","6,210","6,726","13,514","24,194","9,681","7,597","15,753"
Cyprus,"8,672","9,945","9,748","11,322","9,602","10,387","13,202","5,135","1,869","7,114"
Czechia,"95,636","107,278","99,602","112,042","127,704","137,367","143,277","56,580","8,938","83,363"
Denmark,"308,960","332,376","322,711","333,868","356,969","365,044","343,807","136,429","12,788","190,643"
Djibouti,339,567,536,819,"1,355",414,414,200,80,228
Dominica,"8,241","7,631","7,599","7,948","7,127","6,798","7,370","2,794","1,876","4,913"
Dominican Republic,"276,142","298,698","332,404","388,119","368,561","390,659","506,009","251,243","338,863","431,456"
Ecuador,"270,299","339,959","387,146","437,997","448,642","469,185","489,443","221,443","355,602","389,942"
Egypt,"75,169","86,758","89,137","95,669","66,525","69,864","88,720","43,875","34,068","52,207"
El Salvador,"117,335","136,963","170,913","212,016","189,626","198,390","240,041","104,393","158,419","232,136"
Equatorial Guinea,"1,056","1,840","1,521","1,560","1,461","1,571","1,742",685,543,"1,013"
Eritrea,873,"1,868","2,391","3,032","2,898","1,095",799,392,159,338
Estonia,"19,350","23,065","21,151","24,294","25,976","26,220","27,829","13,879","2,057","15,852"
Eswatini,"1,936","2,265","2,164","1,932",758,"1,044","2,195",772,292,"1,541"
Ethiopia,"14,724","16,304","16,745","21,318","18,366","19,075","21,526","9,864","11,265","12,753"
Falkland Islands,111,92,76,92,58,123,139,134,46,135
Faroe Islands,NA,283,327,421,306,395,455,145,18,247
Fiji,"11,848","12,963","11,605","11,563","9,319","9,282","10,274","4,358",531,"6,416"
Finland,"152,127","162,433","149,605","157,761","162,544","161,097","159,677","75,918","5,139","69,449"
